,Unnamed: 0,Date,Home_Team,Away_Team,Field_Goal,Field_Goal_Attempts,Field_Goal_%,2Point,2Point_Attempts,2Point_%,3Point,3Point_Attempts,3Point_%,Free_Throw,Free_Throw_Attempt,Free_Throw_%,Points,Away_Field_Goal,Away_Field_Goal_Attempts,Away_Field_Goal_%,Away_2Point,Away_2Point_Attempts,Away_2Point_%,Away_3Point,Away_3Point_Attempts,Away_3Point_%,Away_Free_Throw,Away_Free_Throw_Attempt,Away_Free_Throw_%,Away_Points,Offensive_Efficiency,Away_Offensive_Efficiency,ielo,away_ielo,Away_ielo
817,817,2019-02-08,DAL,MIL,36,87,0.414,14,34,0.412,22,53,0.415,13,20,0.65,107,51,93,0.548,41,57,0.719,10,36,0.278,10,12,0.833,122,122.98850574712642,131.18279569892474,1500,1500,1500
818,818,2019-02-08,DET,NYK,42,86,0.488,29,56,0.518,13,30,0.433,23,29,0.793,120,35,78,0.449,28,56,0.5,7,22,0.318,26,41,0.634,103,139.53488372093022,132.05128205128204,1500,1500,1500
819,819,2019-02-08,NOP,MIN,43,91,0.473,34,61,0.557,9,30,0.3,27,28,0.964,122,46,91,0.505,37,70,0.529,9,21,0.429,16,22,0.727,117,134.06593406593404,128.57142857142858,1500,1500,1500
820,820,2019-02-08,PHI,DEN,39,78,0.5,29,56,0.518,10,22,0.455,29,32,0.906,117,46,94,0.489,40,68,0.588,6,26,0.231,12,13,0.923,110,150.0,117.02127659574468,1500,1500,1500
821,821,2019-02-08,PHO,GSW,39,101,0.386,33,70,0.471,6,31,0.194,23,30,0.767,107,41,81,0.506,31,52,0.596,10,29,0.345,25,35,0.714,117,105.94059405940595,144.44444444444443,1500,1500,1500
822,822,2019-02-08,SAC,MIA,37,90,0.411,28,64,0.438,9,26,0.346,19,25,0.76,102,38,88,0.432,27,55,0.491,11,33,0.333,9,19,0.474,96,113.33333333333331,109.09090909090908,1500,1500,1500
823,823,2019-02-08,WAS,CLE,46,92,0.5,34,57,0.596,12,35,0.343,15,16,0.938,119,36,96,0.375,24,58,0.414,12,38,0.316,22,25,0.88,106,129.34782608695653,110.41666666666669,1500,1500,1500
824,824,2019-02-09,ATL,CHO,46,86,0.535,32,53,0.604,14,33,0.424,14,19,0.737,120,48,88,0.545,29,46,0.63,19,42,0.452,14,18,0.778,129,139.53488372093022,146.5909090909091,1500,1500,1500
825,825,2019-02-09,BOS,LAC,39,92,0.424,30,66,0.455,9,26,0.346,25,31,0.806,112,40,84,0.476,28,54,0.519,12,30,0.4,31,40,0.775,123,121.73913043478262,146.42857142857142,1500,1500,1500
826,826,2019-02-09,CHI,WAS,49,97,0.505,43,74,0.581,6,23,0.261,21,28,0.75,125,55,95,0.579,43,68,0.632,12,27,0.444,12,14,0.857,134,128.8659793814433,141.05263157894737,1500,1500,1500
827,827,2019-02-09,HOU,OKC,37,86,0.43,21,41,0.512,16,45,0.356,22,30,0.733,112,40,89,0.449,27,55,0.491,13,34,0.382,24,30,0.8,117,130.2325581395349,131.46067415730337,1500,1500,1500
828,828,2019-02-09,IND,CLE,45,84,0.536,36,58,0.621,9,26,0.346,6,10,0.6,105,35,79,0.443,19,43,0.442,16,36,0.444,4,9,0.444,90,125.0,113.9240506329114,1500,1500,1500
829,829,2019-02-09,MEM,NOP,38,88,0.432,30,59,0.508,8,29,0.276,15,18,0.833,99,34,86,0.395,28,53,0.528,6,33,0.182,16,27,0.593,90,112.5,104.65116279069768,1500,1500,1500
830,830,2019-02-09,MIL,ORL,31,95,0.326,25,60,0.417,6,35,0.171,15,18,0.833,83,44,94,0.468,34,67,0.507,10,27,0.37,5,6,0.833,103,87.36842105263159,109.57446808510636,1500,1500,1500
831,831,2019-02-09,NYK,TOR,39,94,0.415,29,69,0.42,10,25,0.4,11,19,0.579,99,33,86,0.384,19,51,0.373,14,35,0.4,24,29,0.828,104,105.3191489361702,120.93023255813952,1500,1500,1500
832,832,2019-02-09,UTA,SAS,47,90,0.522,31,49,0.633,16,41,0.39,15,20,0.75,125,40,89,0.449,33,67,0.493,7,22,0.318,18,20,0.9,105,138.88888888888889,117.97752808988764,1500,1500,1500
833,833,2019-02-10,ATL,ORL,37,80,0.463,24,48,0.5,13,32,0.406,21,25,0.84,108,43,91,0.473,30,54,0.556,13,37,0.351,25,28,0.893,124,135.0,136.26373626373626,1500,1500,1500
834,834,2019-02-10,DAL,POR,36,87,0.414,24,50,0.48,12,37,0.324,18,23,0.783,102,42,86,0.488,33,57,0.579,9,29,0.31,8,14,0.571,101,117.2413793103448,117.44186046511628,1500,1500,1500
835,835,2019-02-10,GSW,MIA,44,82,0.537,31,46,0.674,13,36,0.361,19,26,0.731,120,48,105,0.457,30,62,0.484,18,43,0.419,4,8,0.5,118,146.34146341463415,112.38095238095238,1500,1500,1500
836,836,2019-02-10,PHI,LAL,56,97,0.577,44,73,0.603,12,24,0.5,19,22,0.864,143,48,93,0.516,38,66,0.576,10,27,0.37,14,19,0.737,120,147.42268041237114,129.03225806451613,1500,1500,1500
837,837,2019-02-10,SAC,PHO,38,84,0.452,29,53,0.547,9,31,0.29,32,44,0.727,117,38,91,0.418,32,64,0.5,6,27,0.222,22,30,0.733,104,139.28571428571428,114.28571428571428,1500,1500,1500
838,838,2019-02-11,CHI,MIL,37,96,0.385,28,68,0.412,9,28,0.321,16,18,0.889,99,38,80,0.475,26,42,0.619,12,38,0.316,24,29,0.828,112,103.125,140.0,1500,1500,1500
839,839,2019-02-11,CLE,NYK,38,95,0.4,24,51,0.471,14,44,0.318,17,19,0.895,107,42,92,0.457,35,66,0.53,7,26,0.269,13,20,0.65,104,112.6315789473684,113.04347826086956,1500,1500,1500
840,840,2019-02-11,DEN,MIA,38,89,0.427,22,52,0.423,16,37,0.432,11,13,0.846,103,34,82,0.415,25,49,0.51,9,33,0.273,10,16,0.625,87,115.73033707865169,106.09756097560977,1500,1500,1500
841,841,2019-02-11,DET,WAS,44,85,0.518,29,49,0.592,15,36,0.417,18,21,0.857,121,42,84,0.5,28,45,0.622,14,39,0.359,14,19,0.737,112,142.35294117647058,133.33333333333331,1500,1500,1500
842,842,2019-02-11,HOU,DAL,42,90,0.467,19,30,0.633,23,60,0.383,13,15,0.867,120,35,73,0.479,22,37,0.595,13,36,0.361,21,27,0.778,104,133.33333333333331,142.46575342465752,1500,1500,1500
843,843,2019-02-11,IND,CHO,38,74,0.514,30,49,0.612,8,25,0.32,15,17,0.882,99,29,90,0.322,22,50,0.44,7,40,0.175,25,33,0.758,90,133.7837837837838,100.0,1500,1500,1500
844,844,2019-02-11,MIN,LAC,47,90,0.522,41,72,0.569,6,18,0.333,30,36,0.833,130,37,72,0.514,25,43,0.581,12,29,0.414,34,39,0.872,120,144.44444444444443,166.66666666666669,1500,1500,1500
845,845,2019-02-11,OKC,POR,41,86,0.477,25,51,0.49,16,35,0.457,22,29,0.759,120,36,87,0.414,25,58,0.431,11,29,0.379,28,38,0.737,111,139.53488372093022,127.58620689655172,1500,1500,1500
846,846,2019-02-11,TOR,BRK,50,92,0.543,41,61,0.672,9,31,0.29,18,20,0.9,127,46,88,0.523,26,47,0.553,20,41,0.488,13,18,0.722,125,138.04347826086956,142.04545454545453,1500,1500,1500
847,847,2019-02-12,ATL,LAL,40,92,0.435,24,50,0.48,16,42,0.381,21,26,0.808,117,41,95,0.432,27,55,0.491,14,40,0.35,17,25,0.68,113,127.17391304347828,118.94736842105264,1500,1500,1500
848,848,2019-02-12,GSW,UTA,44,89,0.494,31,48,0.646,13,41,0.317,14,21,0.667,115,41,87,0.471,31,61,0.508,10,26,0.385,16,21,0.762,108,129.21348314606743,124.13793103448276,1500,1500,1500
849,849,2019-02-12,MEM,SAS,44,89,0.494,36,65,0.554,8,24,0.333,11,16,0.688,107,36,86,0.419,23,65,0.354,13,21,0.619,23,29,0.793,108,120.2247191011236,125.5813953488372,1500,1500,1500
850,850,2019-02-12,NOP,ORL,36,94,0.383,26,65,0.4,10,29,0.345,6,8,0.75,88,42,95,0.442,29,63,0.46,13,32,0.406,21,22,0.955,118,93.61702127659576,124.21052631578948,1500,1500,1500
851,851,2019-02-12,PHI,BOS,39,80,0.488,30,53,0.566,9,27,0.333,22,31,0.71,109,41,88,0.466,28,59,0.475,13,29,0.448,17,21,0.81,112,136.25,127.27272727272728,1500,1500,1500
852,852,2019-02-13,BOS,DET,45,88,0.511,29,49,0.592,16,39,0.41,12,15,0.8,118,36,84,0.429,23,44,0.523,13,40,0.325,25,34,0.735,110,134.0909090909091,130.95238095238096,1500,1500,1500
853,853,2019-02-13,CHI,MEM,45,80,0.563,37,60,0.617,8,20,0.4,24,29,0.828,122,43,89,0.483,32,58,0.552,11,31,0.355,13,17,0.765,110,152.5,123.59550561797752,1500,1500,1500
854,854,2019-02-13,CLE,BRK,54,120,0.45,36,78,0.462,18,42,0.429,13,18,0.722,139,52,113,0.46,34,68,0.5,18,45,0.4,26,34,0.765,148,115.83333333333334,130.97345132743362,1500,1500,1500
855,855,2019-02-13,DAL,MIA,34,88,0.386,19,36,0.528,15,52,0.288,18,22,0.818,101,44,81,0.543,32,51,0.627,12,30,0.4,12,16,0.75,112,114.77272727272728,138.2716049382716,1500,1500,1500
856,856,2019-02-13,DEN,SAC,45,99,0.455,37,68,0.544,8,31,0.258,22,25,0.88,120,42,93,0.452,31,61,0.508,11,32,0.344,23,28,0.821,118,121.21212121212122,126.88172043010752,1500,1500,1500
857,857,2019-02-13,IND,MIL,37,88,0.42,27,61,0.443,10,27,0.37,13,15,0.867,97,38,86,0.442,29,55,0.527,9,31,0.29,21,29,0.724,106,110.22727272727272,123.25581395348836,1500,1500,1500
858,858,2019-02-13,LAC,PHO,50,84,0.595,39,62,0.629,11,22,0.5,23,30,0.767,134,40,86,0.465,32,56,0.571,8,30,0.267,19,25,0.76,107,159.52380952380955,124.4186046511628,1500,1500,1500
859,859,2019-02-13,MIN,HOU,49,90,0.544,39,70,0.557,10,20,0.5,13,17,0.765,121,40,98,0.408,21,45,0.467,19,53,0.358,12,13,0.923,111,134.44444444444446,113.26530612244898,1500,1500,1500
860,860,2019-02-13,NYK,PHI,40,100,0.4,31,71,0.437,9,29,0.31,22,27,0.815,111,42,78,0.538,34,55,0.618,8,23,0.348,34,43,0.791,126,111.0,161.53846153846155,1500,1500,1500
861,861,2019-02-13,POR,GSW,43,93,0.462,27,56,0.482,16,37,0.432,27,34,0.794,129,39,97,0.402,26,59,0.441,13,38,0.342,16,18,0.889,107,138.70967741935485,110.30927835051548,1500,1500,1500
862,862,2019-02-13,TOR,WAS,44,92,0.478,28,54,0.519,16,38,0.421,25,30,0.833,129,37,84,0.44,23,44,0.523,14,40,0.35,32,39,0.821,120,140.2173913043478,142.85714285714286,1500,1500,1500
863,863,2019-02-14,ATL,NYK,33,91,0.363,23,53,0.434,10,38,0.263,15,19,0.789,91,38,84,0.452,26,53,0.491,12,31,0.387,18,26,0.692,106,100.0,126.1904761904762,1500,1500,1500
864,864,2019-02-14,NOP,OKC,50,92,0.543,38,66,0.576,12,26,0.462,19,24,0.792,131,50,106,0.472,40,62,0.645,10,44,0.227,12,13,0.923,122,142.3913043478261,115.09433962264151,1500,1500,1500
865,865,2019-02-14,ORL,CHO,48,92,0.522,31,53,0.585,17,39,0.436,14,18,0.778,127,33,94,0.351,29,63,0.46,4,31,0.129,19,26,0.731,89,138.04347826086956,94.6808510638298,1500,1500,1500
866,866,2019-02-21,BRK,POR,36,92,0.391,29,56,0.518,7,36,0.194,20,26,0.769,99,46,105,0.438,39,73,0.534,7,32,0.219,14,16,0.875,113,107.6086956521739,107.61904761904762,1500,1500,1500
867,867,2019-02-21,CLE,PHO,42,85,0.494,29,49,0.592,13,36,0.361,14,20,0.7,111,35,84,0.417,25,52,0.481,10,32,0.313,18,25,0.72,98,130.58823529411765,116.66666666666669,1500,1500,1500
868,868,2019-02-21,GSW,SAC,43,94,0.457,24,48,0.5,19,46,0.413,20,24,0.833,125,43,99,0.434,33,66,0.5,10,33,0.303,27,34,0.794,123,132.9787234042553,124.24242424242424,1500,1500,1500
869,869,2019-02-21,LAL,HOU,38,86,0.442,30,56,0.536,8,30,0.267,27,33,0.818,111,40,88,0.455,28,47,0.596,12,41,0.293,14,15,0.933,106,129.06976744186048,120.45454545454544,1500,1500,1500
870,870,2019-02-21,MIL,BOS,37,88,0.42,23,49,0.469,14,39,0.359,10,14,0.714,98,39,102,0.382,25,62,0.403,14,40,0.35,5,6,0.833,97,111.36363636363636,95.09803921568628,1500,1500,1500
871,871,2019-02-21,PHI,MIA,37,82,0.451,30,56,0.536,7,26,0.269,25,35,0.714,106,45,94,0.479,39,72,0.542,6,22,0.273,6,12,0.5,102,129.26829268292684,108.51063829787232,1500,1500,1500
872,872,2019-02-22,ATL,DET,43,88,0.489,23,46,0.5,20,42,0.476,16,19,0.842,122,46,95,0.484,31,55,0.564,15,40,0.375,18,28,0.643,125,138.63636363636363,131.57894736842107,1500,1500,1500
873,873,2019-02-22,CHO,WAS,46,96,0.479,33,63,0.524,13,33,0.394,18,22,0.818,123,42,97,0.433,32,58,0.552,10,39,0.256,16,18,0.889,110,128.125,113.4020618556701,1500,1500,1500
874,874,2019-02-22,DAL,DEN,34,84,0.405,24,43,0.558,10,41,0.244,26,33,0.788,104,42,103,0.408,28,66,0.424,14,37,0.378,16,25,0.64,114,123.8095238095238,110.67961165048544,1500,1500,1500
875,875,2019-02-22,IND,NOP,44,93,0.473,30,61,0.492,14,32,0.438,24,35,0.686,126,43,93,0.462,35,66,0.53,8,27,0.296,17,30,0.567,111,135.48387096774192,119.35483870967742,1500,1500,1500
876,876,2019-02-22,MEM,LAC,33,90,0.367,24,58,0.414,9,32,0.281,31,36,0.861,106,35,75,0.467,29,50,0.58,6,25,0.24,36,42,0.857,112,117.7777777777778,149.33333333333334,1500,1500,1500
877,877,2019-02-22,NYK,MIN,37,86,0.43,26,57,0.456,11,29,0.379,19,24,0.792,104,41,87,0.471,30,63,0.476,11,24,0.458,22,32,0.688,115,120.93023255813952,132.183908045977,1500,1500,1500
878,878,2019-02-22,OKC,UTA,55,118,0.466,37,74,0.5,18,44,0.409,20,25,0.8,148,52,105,0.495,34,65,0.523,18,40,0.45,25,31,0.806,147,125.42372881355932,140.0,1500,1500,1500
879,879,2019-02-22,ORL,CHI,41,81,0.506,27,47,0.574,14,34,0.412,13,24,0.542,109,40,90,0.444,28,61,0.459,12,29,0.414,18,19,0.947,110,134.5679012345679,122.22222222222224,1500,1500,1500
880,880,2019-02-22,TOR,SAS,40,94,0.426,26,64,0.406,14,30,0.467,26,32,0.813,120,43,89,0.483,31,52,0.596,12,37,0.324,19,22,0.864,117,127.65957446808513,131.46067415730337,1500,1500,1500
881,881,2019-02-23,ATL,PHO,38,92,0.413,26,59,0.441,12,33,0.364,32,38,0.842,120,41,93,0.441,28,56,0.5,13,37,0.351,17,20,0.85,112,130.43478260869566,120.43010752688171,1500,1500,1500
882,882,2019-02-23,CHI,BOS,47,88,0.534,35,58,0.603,12,30,0.4,20,21,0.952,126,45,92,0.489,35,63,0.556,10,29,0.345,16,21,0.762,116,143.1818181818182,126.08695652173914,1500,1500,1500
883,883,2019-02-23,CHO,BRK,39,86,0.453,27,51,0.529,12,35,0.343,25,30,0.833,115,40,87,0.46,23,44,0.523,17,43,0.395,20,26,0.769,117,133.72093023255815,134.48275862068965,1500,1500,1500
884,884,2019-02-23,CLE,MEM,39,88,0.443,23,46,0.5,16,42,0.381,18,23,0.783,112,40,90,0.444,35,65,0.538,5,25,0.2,22,28,0.786,107,127.27272727272728,118.88888888888889,1500,1500,1500
885,885,2019-02-23,GSW,HOU,42,90,0.467,28,54,0.519,14,36,0.389,14,20,0.7,112,40,92,0.435,24,49,0.49,16,43,0.372,22,24,0.917,118,124.44444444444444,128.26086956521738,1500,1500,1500
886,886,2019-02-23,MIA,DET,35,82,0.427,28,54,0.519,7,28,0.25,19,27,0.704,96,42,80,0.525,28,47,0.596,14,33,0.424,21,26,0.808,119,117.07317073170732,148.75,1500,1500,1500
887,887,2019-02-23,MIL,MIN,50,95,0.526,31,52,0.596,19,43,0.442,21,22,0.955,140,50,102,0.49,38,76,0.5,12,26,0.462,16,20,0.8,128,147.36842105263156,125.49019607843135,1500,1500,1500
888,888,2019-02-23,NOP,LAL,50,96,0.521,35,56,0.625,15,40,0.375,13,16,0.813,128,44,81,0.543,34,52,0.654,10,29,0.345,17,26,0.654,115,133.33333333333331,141.97530864197532,1500,1500,1500
889,889,2019-02-23,OKC,SAC,40,105,0.381,26,59,0.441,14,46,0.304,22,28,0.786,116,44,97,0.454,37,78,0.474,7,19,0.368,24,34,0.706,119,110.47619047619048,122.68041237113404,1500,1500,1500
890,890,2019-02-23,PHI,POR,42,87,0.483,33,63,0.524,9,24,0.375,22,28,0.786,115,49,99,0.495,44,76,0.579,5,23,0.217,27,29,0.931,130,132.183908045977,131.31313131313132,1500,1500,1500
891,891,2019-02-23,UTA,DAL,41,85,0.482,27,47,0.574,14,38,0.368,29,33,0.879,125,41,97,0.423,28,61,0.459,13,36,0.361,14,18,0.778,109,147.05882352941177,112.37113402061856,1500,1500,1500
892,892,2019-02-23,WAS,IND,42,79,0.532,29,44,0.659,13,35,0.371,15,21,0.714,112,47,83,0.566,36,58,0.621,11,25,0.44,14,22,0.636,119,141.77215189873417,143.3734939759036,1500,1500,1500
893,893,2019-02-24,DEN,LAC,44,85,0.518,32,51,0.627,12,34,0.353,23,35,0.657,123,30,87,0.345,27,66,0.409,3,21,0.143,33,37,0.892,96,144.70588235294116,110.34482758620688,1500,1500,1500
894,894,2019-02-24,NYK,SAS,50,98,0.51,34,61,0.557,16,37,0.432,14,19,0.737,130,42,94,0.447,36,70,0.514,6,24,0.25,28,31,0.903,118,132.6530612244898,125.531914893617,1500,1500,1500
895,895,2019-02-24,TOR,ORL,38,91,0.418,27,63,0.429,11,28,0.393,11,14,0.786,98,42,91,0.462,28,55,0.509,14,36,0.389,15,20,0.75,113,107.6923076923077,124.17582417582418,1500,1500,1500
896,896,2019-02-25,BRK,SAS,35,81,0.432,16,31,0.516,19,50,0.38,12,16,0.75,101,35,96,0.365,31,72,0.431,4,24,0.167,11,12,0.917,85,124.69135802469135,88.54166666666666,1500,1500,1500
897,897,2019-02-25,CHI,MIL,41,92,0.446,32,66,0.485,9,26,0.346,15,22,0.682,106,42,91,0.462,25,42,0.595,17,49,0.347,16,23,0.696,117,115.21739130434784,128.57142857142858,1500,1500,1500
898,898,2019-02-25,CHO,GSW,40,91,0.44,33,58,0.569,7,33,0.212,23,26,0.885,110,48,95,0.505,34,54,0.63,14,41,0.341,11,13,0.846,121,120.87912087912088,127.36842105263158,1500,1500,1500
899,899,2019-02-25,CLE,POR,37,89,0.416,24,55,0.436,13,34,0.382,23,26,0.885,110,44,78,0.564,26,49,0.531,18,29,0.621,17,22,0.773,123,123.59550561797752,157.69230769230768,1500,1500,1500
900,900,2019-02-25,DET,IND,39,88,0.443,21,47,0.447,18,41,0.439,17,26,0.654,113,40,87,0.46,30,61,0.492,10,26,0.385,19,21,0.905,109,128.4090909090909,125.28735632183908,1500,1500,1500
901,901,2019-02-25,HOU,ATL,39,90,0.433,24,39,0.615,15,51,0.294,26,30,0.867,119,39,80,0.488,22,42,0.524,17,38,0.447,16,23,0.696,111,132.22222222222223,138.75,1500,1500,1500
902,902,2019-02-25,LAC,DAL,45,100,0.45,28,55,0.509,17,45,0.378,14,18,0.778,121,37,76,0.487,23,40,0.575,14,36,0.389,24,27,0.889,112,121.0,147.36842105263156,1500,1500,1500
903,903,2019-02-25,MEM,LAL,41,93,0.441,32,57,0.561,9,36,0.25,19,23,0.826,110,40,89,0.449,30,62,0.484,10,27,0.37,15,20,0.75,105,118.27956989247312,117.97752808988764,1500,1500,1500
904,904,2019-02-25,MIA,PHO,48,97,0.495,39,68,0.574,9,29,0.31,16,20,0.8,121,45,89,0.506,32,57,0.561,13,32,0.406,21,25,0.84,124,124.74226804123712,139.32584269662922,1500,1500,1500
905,905,2019-02-25,MIN,SAC,42,83,0.506,34,52,0.654,8,31,0.258,20,28,0.714,112,37,95,0.389,28,69,0.406,9,26,0.346,22,29,0.759,105,134.93975903614458,110.5263157894737,1500,1500,1500
906,906,2019-02-25,NOP,PHI,44,104,0.423,39,76,0.513,5,28,0.179,17,24,0.708,110,44,101,0.436,34,70,0.486,10,31,0.323,13,19,0.684,111,105.76923076923076,109.9009900990099,1500,1500,1500
907,907,2019-02-26,DEN,OKC,41,88,0.466,28,60,0.467,13,28,0.464,26,35,0.743,121,43,95,0.453,33,57,0.579,10,38,0.263,16,25,0.64,112,137.5,117.89473684210525,1500,1500,1500
908,908,2019-02-26,NYK,ORL,38,89,0.427,31,65,0.477,7,24,0.292,25,32,0.781,108,39,89,0.438,28,57,0.491,11,32,0.344,14,20,0.7,103,121.34831460674158,115.73033707865169,1500,1500,1500
909,909,2019-02-26,TOR,BOS,46,94,0.489,29,58,0.5,17,36,0.472,9,14,0.643,118,33,86,0.384,27,56,0.482,6,30,0.2,23,28,0.821,95,125.531914893617,110.46511627906976,1500,1500,1500
910,910,2019-02-27,ATL,MIN,46,108,0.426,34,79,0.43,12,29,0.414,27,32,0.844,131,44,102,0.431,32,64,0.5,12,38,0.316,23,33,0.697,123,121.2962962962963,120.58823529411764,1500,1500,1500
911,911,2019-02-27,BOS,POR,40,86,0.465,35,58,0.603,5,28,0.179,7,10,0.7,92,38,90,0.422,32,57,0.561,6,33,0.182,15,20,0.75,97,106.9767441860465,107.77777777777776,1500,1500,1500
912,912,2019-02-27,BRK,WAS,39,85,0.459,31,50,0.62,8,35,0.229,30,39,0.769,116,44,96,0.458,33,59,0.559,11,37,0.297,26,31,0.839,125,136.47058823529412,130.20833333333331,1500,1500,1500
913,913,2019-02-27,CHO,HOU,39,83,0.47,27,50,0.54,12,33,0.364,23,27,0.852,113,42,91,0.462,29,52,0.558,13,39,0.333,21,24,0.875,118,136.14457831325302,129.67032967032966,1500,1500,1500
914,914,2019-02-27,DAL,IND,40,81,0.494,24,44,0.545,16,37,0.432,14,23,0.609,110,37,77,0.481,27,49,0.551,10,28,0.357,17,21,0.81,101,135.80246913580248,131.1688311688312,1500,1500,1500
915,915,2019-02-27,LAL,NOP,49,94,0.521,41,69,0.594,8,25,0.32,19,31,0.613,125,46,102,0.451,39,67,0.582,7,35,0.2,20,27,0.741,119,132.9787234042553,116.66666666666669,1500,1500,1500
916,916,2019-02-27,MEM,CHI,41,94,0.436,32,67,0.478,9,27,0.333,16,18,0.889,107,39,82,0.476,31,58,0.534,8,24,0.333,23,25,0.92,109,113.82978723404256,132.9268292682927,1500,1500,1500
917,917,2019-02-27,MIA,GSW,42,83,0.506,24,42,0.571,18,41,0.439,24,30,0.8,126,44,89,0.494,27,41,0.659,17,48,0.354,20,28,0.714,125,151.80722891566265,140.4494382022472,1500,1500,1500
918,918,2019-02-27,SAC,MIL,53,118,0.449,41,85,0.482,12,33,0.364,22,30,0.733,140,54,112,0.482,37,67,0.552,17,45,0.378,16,21,0.762,141,118.64406779661016,125.89285714285714,1500,1500,1500
919,919,2019-02-27,SAS,DET,42,81,0.519,33,64,0.516,9,17,0.529,12,17,0.706,105,36,100,0.36,21,62,0.339,15,38,0.395,6,7,0.857,93,129.62962962962962,93.0,1500,1500,1500
920,920,2019-02-27,UTA,LAC,38,92,0.413,27,58,0.466,11,34,0.324,24,32,0.75,111,37,94,0.394,32,68,0.471,5,26,0.192,26,30,0.867,105,120.65217391304348,111.70212765957446,1500,1500,1500
921,921,2019-02-28,DEN,UTA,40,99,0.404,33,74,0.446,7,25,0.28,17,24,0.708,104,37,84,0.44,21,41,0.512,16,43,0.372,21,33,0.636,111,105.05050505050508,132.14285714285714,1500,1500,1500
922,922,2019-02-28,HOU,MIA,38,77,0.494,19,31,0.613,19,46,0.413,26,28,0.929,121,42,81,0.519,27,53,0.509,15,28,0.536,19,24,0.792,118,157.14285714285714,145.679012345679,1500,1500,1500
923,923,2019-02-28,IND,MIN,40,84,0.476,24,57,0.421,16,27,0.593,26,31,0.839,122,42,89,0.472,34,63,0.54,8,26,0.308,23,34,0.676,115,145.23809523809524,129.21348314606743,1500,1500,1500
924,924,2019-02-28,NYK,CLE,46,95,0.484,35,63,0.556,11,32,0.344,15,23,0.652,118,41,80,0.513,27,46,0.587,14,34,0.412,29,36,0.806,125,124.21052631578948,156.25,1500,1500,1500
925,925,2019-02-28,OKC,PHI,38,87,0.437,30,60,0.5,8,27,0.296,20,28,0.714,104,42,91,0.462,30,61,0.492,12,30,0.4,12,19,0.632,108,119.54022988505749,118.68131868131869,1500,1500,1500
926,926,2019-02-28,ORL,GSW,40,89,0.449,29,58,0.5,11,31,0.355,12,15,0.8,103,39,97,0.402,30,57,0.526,9,40,0.225,9,10,0.9,96,115.73033707865169,98.96907216494846,1500,1500,1500
927,927,2019-03-01,ATL,CHI,61,123,0.496,39,63,0.619,22,60,0.367,17,25,0.68,161,56,119,0.471,35,71,0.493,21,48,0.438,35,48,0.729,168,130.8943089430894,141.1764705882353,1500,1500,1500
928,928,2019-03-01,BOS,WAS,42,94,0.447,32,59,0.542,10,35,0.286,13,17,0.765,107,36,89,0.404,26,51,0.51,10,38,0.263,14,19,0.737,96,113.82978723404256,107.86516853932584,1500,1500,1500
929,929,2019-03-01,BRK,CHO,44,86,0.512,34,54,0.63,10,32,0.313,14,18,0.778,112,50,94,0.532,41,73,0.562,9,21,0.429,14,17,0.824,123,130.2325581395349,130.85106382978725,1500,1500,1500
930,930,2019-03-01,LAL,MIL,46,96,0.479,33,56,0.589,13,40,0.325,15,18,0.833,120,48,93,0.516,34,53,0.642,14,40,0.35,21,24,0.875,131,125.0,140.86021505376343,1500,1500,1500
931,931,2019-03-01,PHO,NOP,40,94,0.426,28,60,0.467,12,34,0.353,24,28,0.857,116,50,87,0.575,34,60,0.567,16,27,0.593,14,20,0.7,130,123.40425531914892,149.42528735632183,1500,1500,1500
932,932,2019-03-01,SAC,LAC,41,93,0.441,35,72,0.486,6,21,0.286,21,25,0.84,109,40,92,0.435,28,61,0.459,12,31,0.387,24,33,0.727,116,117.20430107526884,126.08695652173914,1500,1500,1500
933,933,2019-03-01,TOR,POR,45,81,0.556,35,53,0.66,10,28,0.357,19,21,0.905,119,42,85,0.494,28,52,0.538,14,33,0.424,19,23,0.826,117,146.9135802469136,137.64705882352942,1500,1500,1500
934,934,2019-03-02,CLE,DET,27,79,0.342,14,45,0.311,13,34,0.382,26,32,0.813,93,47,87,0.54,27,50,0.54,20,37,0.541,15,17,0.882,129,117.72151898734178,148.27586206896552,1500,1500,1500
935,935,2019-03-02,DAL,MEM,26,85,0.306,19,45,0.422,7,40,0.175,22,33,0.667,81,39,78,0.5,25,44,0.568,14,34,0.412,19,24,0.792,111,95.2941176470588,142.30769230769232,1500,1500,1500
936,936,2019-03-02,DEN,NOP,39,92,0.424,30,60,0.5,9,32,0.281,25,29,0.862,112,45,92,0.489,33,62,0.532,12,30,0.4,18,26,0.692,120,121.73913043478262,130.43478260869566,1500,1500,1500
937,937,2019-03-02,IND,ORL,42,77,0.545,35,50,0.7,7,27,0.259,21,24,0.875,112,46,91,0.505,36,63,0.571,10,28,0.357,15,19,0.789,117,145.45454545454547,128.57142857142858,1500,1500,1500
938,938,2019-03-02,MIA,BRK,44,90,0.489,30,56,0.536,14,34,0.412,15,22,0.682,117,31,88,0.352,22,46,0.478,9,42,0.214,17,22,0.773,88,130.0,100.0,1500,1500,1500
939,939,2019-03-02,PHI,GSW,39,87,0.448,25,56,0.446,14,31,0.452,25,29,0.862,117,41,81,0.506,27,48,0.563,14,33,0.424,24,34,0.706,120,134.48275862068965,148.14814814814815,1500,1500,1500
